,index,date_get,decesos,municipio,positivos,recuperados,activos
0,132,2020-04-26 19:51:58,8,La Paz,77,10,59
1,154,2020-04-26 19:52:17,3,Montero,104,3,98
2,162,2020-04-26 19:52:25,0,Omereque,5,1,4
3,163,2020-04-26 19:52:26,1,Oruro,46,8,37
4,174,2020-04-26 19:52:36,1,Patacamaya,20,0,19
5,183,2020-04-26 19:52:44,0,Porongo (Ayacucho),1,1,0
6,187,2020-04-26 19:52:47,1,Potosi,22,0,21
7,209,2020-04-26 19:53:08,1,Robore,5,2,2
8,212,2020-04-26 19:53:10,1,Sacaba,2,0,1
9,226,2020-04-26 19:53:23,0,San Carlos,1,0,1
10,252,2020-04-26 19:53:47,13,Santa Cruz de la Sierra,295,21,261
11,262,2020-04-26 19:53:56,0,Santibañez,12,3,9
12,272,2020-04-26 19:54:06,0,Sucre,2,0,2
13,282,2020-04-26 19:54:15,0,Tarija,3,0,3
14,310,2020-04-26 19:54:41,0,Vallegrande,8,4,4
15,311,2020-04-26 19:54:42,1,Punata,8,0,7
16,312,2020-04-26 19:54:43,0,Cairoma,12,0,12
17,313,2020-04-26 19:54:43,0,Capinota,0,0,0
18,314,2020-04-26 19:54:44,1,Quillacollo,14,0,13
19,315,2020-04-26 19:54:45,1,Cliza,1,0,0
20,317,2020-04-26 19:54:47,0,Huanuni,13,0,13
21,318,2020-04-26 19:54:48,0,Laja,1,0,1
22,319,2020-04-26 19:54:49,1,Eucaliptus,3,0,2
23,320,2020-04-26 19:54:50,0,San Julián,1,0,1
24,321,2020-04-26 19:54:51,0,Malla,1,0,1
25,322,2020-04-26 19:54:52,0,Chulumani,1,0,1
26,323,2020-04-26 19:54:53,0,Santuario de Quillacas,3,0,3
27,324,2020-04-26 19:54:53,2,La Guardia,26,0,24
28,325,2020-04-26 19:54:54,0,Cotoca,7,0,7
29,326,2020-04-26 19:54:55,1,Warnes,14,0,13
30,327,2020-04-26 19:54:56,0,Uyuni,1,0,1
31,328,2020-04-26 19:54:58,0,Santa Rosa,16,0,16
32,329,2020-04-26 19:54:59,0,San Pedro,1,0,1
33,330,2020-04-26 19:55:00,0,Genreal Saavedra,5,0,5
34,331,2020-04-26 19:55:01,1,Trinidad,38,0,37
35,334,2020-04-26 19:55:03,0,Mineros,1,0,1
36,335,2020-04-26 19:55:04,0,El Torno,1,0,1
37,336,2020-04-26 19:55:05,0,Colcha K,3,0,3
38,337,2020-04-26 19:55:06,0,Pailon,2,0,2
39,338,2020-04-26 19:55:06,0,Moxos,1,0,1
40,55,2020-04-26 19:50:47,0,Chimore,1,1,0
41,64,2020-04-26 19:50:56,1,Cobija,12,6,5
42,66,2020-04-26 19:50:57,2,Cochabamba,27,7,18
43,68,2020-04-26 19:50:59,0,Colcapirhua,1,1,0
44,79,2020-04-26 19:51:09,0,Concepcion,1,0,1
45,80,2020-04-26 19:51:10,0,Copacabana,1,1,0
46,95,2020-04-26 19:51:23,6,El Alto,46,5,35
